TIME  COMMAND  CELL  BOXTYPE  CHANNEL BOTID
------------------------------------------
   0 startPalletize #1
 252 endMotion    B16        9   84    4
 252 endMotion    B14       11  120    6
 253 startMotion  B16        9   84    4
 253 startMotion  B14       11  120    6
 254 endMotion    A15        9   63    3
 254 endMotion    A13        7  121    1
 254 endMotion    A14        8  122    2
 255 endMotion    B14        6   60    5
 255 startMotion  A14        8  122    2
 255 startMotion  A13        7  121    1
 255 startMotion  A15        9   63    3
 256 startMotion  B14        6   60    5
 257 endMotion    B15       11  120    6
 258 endMotion    C16        9   84    4
 258 startMotion  B15       11  120    6
 259 endMotion    A13        8  122    2
 259 startMotion  C16        9   84    4
 259 endMotion    A14        9   63    3
 259 endMotion    A12        7  121    1
 260 endMotion    B15        6   60    5
 260 startMotion  A13        8  122    2
 260 startMotion  A14        9   63    3
 260 startMotion  A12        7  121    1
 261 startMotion  B15        6   60    5
 262 endMotion    B16       11  120    6
 263 endMotion    C15        9   84    4
 263 startMotion  B16       11  120    6
 264 endMotion    A16       11  120    6
 264 endMotion    A11        7  121    1
 264 startMotion  C15        9   84    4
 264 endMotion    A13        9   63    3
 264 endMotion    A12        8  122    2
 265 endMotion    B16        6   60    5
 265 startMotion  A13        9   63    3
 265 startMotion  A11        7  121    1
 265 startMotion  A12        8  122    2
 265 startMotion  A16       11  120    6
 266 startMotion  B16        6   60    5
 268 endMotion    C14        9   84    4
 269 endMotion    A11        8  122    2
 269 endMotion    A12        9   63    3
 269 endMotion    A15       11  120    6
 269 startMotion  C14        9   84    4
 269 endMotion    A10        7  121    1
 270 startMotion  A10        7  121    1
 270 startMotion  A12        9   63    3
 270 startMotion  A11        8  122    2
 270 startMotion  A15       11  120    6
 271 endMotion    C16        6   60    5
 272 startMotion  C16        6   60    5
 273 endMotion    C13        9   84    4
 274 endMotion    A10        8  122    2
 274 endMotion     A9        7  121    1
 274 endMotion    A14       11  120    6
 274 endMotion    A11        9   63    3
 274 startMotion  C13        9   84    4
 275 startMotion  A10        8  122    2
 275 startMotion  A11        9   63    3
 275 startMotion   A9        7  121    1
 275 startMotion  A14       11  120    6
 276 endMotion    C15        6   60    5
